@RELATION turismo_prediccion_visitas

@ATTRIBUTE Edad NUMERIC
@ATTRIBUTE Lugar_Vivienda {Bogota, Medellin, Barranquilla, Cartagena, Cali}
@ATTRIBUTE Duracion_Estadia NUMERIC
@ATTRIBUTE Location {Playa_Blanca, Ciudad_Amurallada, Islas_del_Rosario, San_Andres, Guatape}
@ATTRIBUTE Rating NUMERIC
@ATTRIBUTE Sentimiento_Comentario {Positivo, Neutro, Negativo}
@ATTRIBUTE Repeticion_Visita {Si, No}

@DATA
45,Bogota,9,San_Andres,3,Positivo,No
49,Medellin,13,Guatape,4,Positivo,Si
73,Cali,26,Guatape,2,Neutro,No
73,Medellin,27,Guatape,1,Positivo,Si
71,Cali,11,Islas_del_Rosario,1,Positivo,No
40,Cali,8,San_Andres,2,Negativo,No
52,Bogota,15,Islas_del_Rosario,4,Positivo,Si
60,Medellin,24,Guatape,2,Negativo,No
47,Cali,27,Ciudad_Amurallada,3,Positivo,No
23,Cartagena,3,Guatape,5,Positivo,No
31,Bogota,18,Playa_Blanca,2,Negativo,No
48,Barranquilla,11,San_Andres,2,Neutro,No
36,Bogota,1,Islas_del_Rosario,3,Positivo,No
60,Bogota,21,Ciudad_Amurallada,2,Negativo,Si
78,Bogota,9,Islas_del_Rosario,3,Neutro,No
74,Medellin,1,Playa_Blanca,2,Negativo,No
60,Bogota,5,San_Andres,5,Positivo,No
67,Medellin,6,Islas_del_Rosario,1,Positivo,No
44,Bogota,17,Ciudad_Amurallada,1,Neutro,No
68,Cali,4,Islas_del_Rosario,2,Neutro,No
54,Cali,28,Playa_Blanca,4,Negativo,No
47,Cartagena,6,San_Andres,1,Positivo,No
48,Barranquilla,10,Islas_del_Rosario,1,Neutro,No
19,Medellin,26,Islas_del_Rosario,1,Neutro,No
18,Cali,5,Guatape,1,Positivo,No
42,Bogota,21,Guatape,1,Negativo,No
43,Medellin,10,Islas_del_Rosario,5,Neutro,No
19,Medellin,16,Ciudad_Amurallada,3,Neutro,No
80,Cartagena,17,San_Andres,1,Negativo,No
63,Barranquilla,13,Playa_Blanca,4,Neutro,No
56,Bogota,4,San_Andres,4,Negativo,No
29,Bogota,2,Islas_del_Rosario,3,Negativo,No
70,Bogota,12,Islas_del_Rosario,1,Positivo,No
68,Medellin,5,Ciudad_Amurallada,2,Negativo,Si
68,Cali,28,San_Andres,5,Neutro,No
61,Medellin,24,Guatape,4,Positivo,No
37,Medellin,17,Ciudad_Amurallada,2,Neutro,No
21,Barranquilla,4,Playa_Blanca,4,Negativo,No
41,Cali,10,Guatape,1,Positivo,No
33,Cali,16,San_Andres,4,Negativo,No
49,Bogota,30,Guatape,3,Negativo,No
52,Bogota,23,Islas_del_Rosario,4,Negativo,No
68,Cali,19,Islas_del_Rosario,3,Neutro,No
49,Medellin,14,Guatape,4,Positivo,Si
76,Barranquilla,9,Guatape,1,Positivo,No
21,Cali,16,Playa_Blanca,2,Positivo,No
28,Barranquilla,19,Playa_Blanca,4,Neutro,No
62,Medellin,6,Playa_Blanca,5,Neutro,No
75,Medellin,21,Islas_del_Rosario,3,Negativo,No
31,Medellin,3,Playa_Blanca,1,Neutro,No
51,Barranquilla,14,Islas_del_Rosario,3,Neutro,No
27,Medellin,19,Playa_Blanca,1,Negativo,No
33,Medellin,23,Islas_del_Rosario,2,Neutro,No
48,Cali,30,San_Andres,3,Positivo,No
45,Bogota,29,San_Andres,1,Negativo,No
76,Barranquilla,30,San_Andres,2,Negativo,No
74,Medellin,14,Playa_Blanca,3,Neutro,No
22,Cali,13,Guatape,1,Neutro,No
24,Cartagena,5,Islas_del_Rosario,3,Positivo,Si
39,Barranquilla,24,San_Andres,2,Positivo,No
42,Medellin,2,San_Andres,4,Neutro,No
28,Medellin,20,Islas_del_Rosario,1,Positivo,No
27,Bogota,4,Guatape,2,Negativo,No
54,Cali,16,San_Andres,4,Negativo,No
50,Cali,1,San_Andres,2,Positivo,No
28,Bogota,20,Ciudad_Amurallada,5,Negativo,No
28,Medellin,4,Guatape,1,Positivo,No
23,Bogota,15,Ciudad_Amurallada,5,Negativo,No
75,Cartagena,2,San_Andres,5,Positivo,Si
71,Cartagena,21,Islas_del_Rosario,2,Positivo,No
54,Bogota,8,San_Andres,2,Negativo,No
22,Medellin,22,Playa_Blanca,3,Neutro,No
42,Cartagena,2,Playa_Blanca,5,Positivo,No
52,Cartagena,27,Islas_del_Rosario,1,Positivo,No
35,Bogota,17,San_Andres,4,Negativo,Si
28,Medellin,23,San_Andres,5,Positivo,Si
25,Medellin,8,Islas_del_Rosario,1,Negativo,No
70,Cartagena,19,Guatape,4,Negativo,No
28,Bogota,13,Islas_del_Rosario,3,Negativo,No
46,Barranquilla,2,Islas_del_Rosario,4,Neutro,No
19,Bogota,10,Islas_del_Rosario,2,Negativo,No
45,Bogota,23,San_Andres,1,Positivo,No
30,Barranquilla,30,Guatape,5,Negativo,Si
71,Cartagena,3,Islas_del_Rosario,5,Positivo,No
51,Cartagena,13,Ciudad_Amurallada,3,Negativo,No
79,Cali,5,Playa_Blanca,1,Positivo,No
56,Bogota,20,Guatape,3,Neutro,No
21,Cartagena,5,San_Andres,2,Neutro,No
46,Barranquilla,25,Playa_Blanca,5,Positivo,Si
61,Bogota,21,Playa_Blanca,5,Negativo,No
30,Medellin,10,Islas_del_Rosario,5,Positivo,No
24,Bogota,5,San_Andres,5,Negativo,No
21,Cali,20,Islas_del_Rosario,3,Positivo,No
37,Cartagena,14,San_Andres,2,Negativo,No
57,Barranquilla,2,Guatape,4,Negativo,No
56,Bogota,30,Islas_del_Rosario,1,Neutro,No
51,Cartagena,1,Guatape,2,Positivo,No
45,Bogota,3,Ciudad_Amurallada,3,Positivo,No
55,Bogota,21,Ciudad_Amurallada,1,Positivo,No
70,Cartagena,4,Guatape,1,Negativo,No
57,Cali,4,Islas_del_Rosario,5,Positivo,No
58,Cartagena,28,Playa_Blanca,4,Negativo,No
71,Bogota,23,Guatape,4,Neutro,No
37,Cartagena,6,San_Andres,2,Positivo,No
36,Cali,19,Islas_del_Rosario,5,Positivo,Si
38,Barranquilla,26,Islas_del_Rosario,2,Negativo,No
45,Bogota,12,Guatape,1,Negativo,No
53,Barranquilla,17,Islas_del_Rosario,4,Positivo,Si
52,Cartagena,8,Guatape,2,Positivo,No
59,Medellin,15,San_Andres,1,Positivo,No
25,Barranquilla,4,Guatape,3,Positivo,No
27,Medellin,24,Playa_Blanca,5,Neutro,No
27,Bogota,16,Ciudad_Amurallada,4,Positivo,Si
79,Cartagena,15,Ciudad_Amurallada,5,Neutro,No
22,Medellin,17,Guatape,2,Negativo,No
25,Bogota,23,Islas_del_Rosario,3,Neutro,No
37,Medellin,30,Guatape,5,Negativo,Si
42,Barranquilla,6,Islas_del_Rosario,2,Neutro,No
25,Barranquilla,13,Playa_Blanca,3,Negativo,No
64,Medellin,21,San_Andres,1,Negativo,No
34,Cartagena,4,San_Andres,4,Positivo,No
50,Barranquilla,9,San_Andres,5,Positivo,Si
30,Cartagena,7,Ciudad_Amurallada,3,Neutro,No
18,Medellin,7,Playa_Blanca,2,Positivo,No
42,Bogota,23,Islas_del_Rosario,1,Positivo,No
31,Cartagena,29,Playa_Blanca,1,Negativo,Si
63,Barranquilla,11,Islas_del_Rosario,3,Negativo,No
79,Cartagena,4,Islas_del_Rosario,5,Neutro,No
67,Medellin,10,San_Andres,3,Negativo,No
29,Barranquilla,20,Playa_Blanca,5,Positivo,Si
60,Cali,14,Ciudad_Amurallada,2,Negativo,Si
78,Barranquilla,25,Islas_del_Rosario,2,Neutro,No
67,Medellin,27,Playa_Blanca,2,Positivo,No
71,Bogota,13,Ciudad_Amurallada,3,Neutro,No
71,Cartagena,18,Islas_del_Rosario,3,Positivo,No
36,Barranquilla,16,Islas_del_Rosario,2,Positivo,Si
52,Medellin,19,Guatape,1,Positivo,No
25,Medellin,19,Guatape,5,Negativo,No
28,Barranquilla,17,Playa_Blanca,5,Positivo,Si
29,Medellin,18,Islas_del_Rosario,5,Neutro,No
34,Cali,26,San_Andres,1,Neutro,No
40,Cartagena,3,Islas_del_Rosario,4,Negativo,Si
62,Medellin,19,San_Andres,5,Neutro,No
